crioulo,phono,phono_TRSV,phono_CV
Bandeya,bandeja,TVR.TV.RV,CVC.CV.CV
Bangià,band̠ʒiaː,TVR.TVV,CVC.CVV
Bank,bank,TVR.T,CVC.C
Benkrut,benkɾut,TVR.TRV.T,CVC.CCV.C
Banths,bants,TVR.TS,CVC.CC
Bariga,baɾiga,TV.RV.TV,CV.CV.CV
Baro,baɾo,TV.RV,CV.CV
báru,baːɾu,TV.RV,CV.CV
Baro-casa,baɾokaza,TV.RV.TV.SV,CV.CV.CV.CV
Barrato,barato,TV.RV.TV,CV.CV.CV
Barrê,bareː,TV.RV,CV.CV
Barido,baɾido,TV.RV.TV,CV.CV.CV
Bàsin,baːzin,TV.SVR,CV.CVC
Bassóra,basoːɾa,TVSSV.RV,CVCCV.CV
Bastanto,bastanto,TVS.TVR.TV,CVC.CVC.CV
Bàtica,baːtika,TV.TV.TV,CV.CV.CV
Batrai,batɾai,TV.TRVV,CV.CCVV
Battà,batːaː,TV.TTV,CV.CCV
Battalho,batːaʎo,TV.TTV.RV,CV.CCV.CV
Batte,batːe,TV.TTV,CV.CCV
Bautismo,bautizmo,TVV.TVSRV,CVV.CVCCV
Bautizá,bautizaː,TVV.TV.TV,CVV.CV.CV
Bautista,bautista,TVV.TVS.TV,CVV.CVC.CV
Bai,bai,TVV,CVV
bei,bei,TVV,CVV
Bazar,bazaɾ,TV.TVR,CV.CVC
bazaara,bazaɾa,TV.TV.RV,CV.CV.CV
Beberajo,bebeɾad̠ʒo,TV.TV.RV.TV,CV.CV.CV.CV
beberai,bebeɾai,TV.TV.RVV,CV.CV.CVV
Beberajochaps,bebeɾad̠ʒot̠ʃaps,TV.TV.RV.TV.TV.TS,CV.CV.CV.CV.CV.CC
Beberão,bebeɾaːo,TV.TV.RVV,CV.CV.CVV
babarão,babaɾaːo,TV.TV.RVV,CV.CV.CVV
bebrão,bebɾaːo,TV.TRVV,CV.CCVV
Bebera,bebeɾa,TV.TV.RV,CV.CV.CV
Béço,beːso,TV.SV,CV.CV
Bíar,biːaɾ,TVVR,CVVC
Bemfeito,bemfeito,TVR.TVV.TV,CVC.CVV.CV
bemfeto,bemfeto,TVR.TV.TV,CVC.CV.CV
Bemfeitos,bemfeitos,TVR.TVV.TVS,CVC.CVV.CVC
Bença,bensa,TVR.SV,CVC.CV
bencè,benseː,TVR.SV,CVC.CV
Bendição,bendisaːo,TVR.TV.SVV,CVC.CV.CVV
Beneficaçan,benefikasan,TV.RV.TV.TV.SVR,CV.CV.CV.CV.CVC
Benigdade,benigdade,TV.RV.TTV.TV,CV.CV.CCV.CV
Benzê,benzeː,TVR.TV,CVC.CV
benzà,benzaː,TVR.TV,CVC.CV
Bénza,beːnza,TVR.TV,CVC.CV
bénzè,beːnzeː,TVR.TV,CVC.CV
Berguer,beɾd̠ʒeɾ,TVR.TVVR,CVC.CVVC
Beryl,beɾjl,TVRRR,CVCCC
Béudo,beːudo,TVV.TV,CVV.CV
Beudice,beudise,TVV.TV.SV,CVV.CV.CV
Baibol,baibol,TVV.TVR,CVV.CVC
Baibol-nomes,baibolnomes,TVV.TVRRV.RVS,CVV.CVCCV.CVC
Bibora,biboɾa,TV.TV.RV,CV.CV.CV
Bijá,bid̠ʒaː,TV.TV,CV.CV
Billiard,biliaɾd,TVRRVVR.T,CVCCVVC.C
Billiard-cámber,biliaɾdkaːmbeɾ,TVRRVVR.TTVR.TVR,CVCCVVC.CCVC.CVC
Bill,bil,TVRR,CVCC
Bisiga,biziga,TV.SV.TV,CV.CV.CV
Bispada,bispada,TVS.TV.TV,CVC.CV.CV
Blada,blada,TRV.TV,CCV.CV
bladè,bladeː,TRV.TV,CCV.CV
Blanket,blanket,TRVR.TV.T,CCVC.CV.C
Blasphemaçan,blasfemasan,TRVS.TV.RV.SVR,CCVC.CV.CV.CVC
Blasphemoso,blasfemozo,TRVS.TV.RV.SV,CCVC.CV.CV.CV
Bõa,boːa,TVV,CVV
Bôt,boːt,TV.T,CV.C
Bobra,bobɾa,TV.TRV,CV.CCV
Bocadè,bokadeː,TV.TV.TV,CV.CV.CV
Bodrimo,bodɾimo,TV.TRV.RV,CV.CCV.CV
Boffetado,bofetado,TV.TV.TV.TV,CV.CV.CV.CV
Boftiá,boftiaː,TV.TTVV,CV.CCVV
buftiá,buftiaː,TV.TTVV,CV.CCVV
Boftada,boftada,TV.TTV.TV,CV.CCV.CV
Boltiá,boltiaː,TVR.TVV,CVC.CVV
Bom,bom,TVR,CVC
Bonancè,bonanseː,TV.RVR.SV,CV.CVC.CV
Bonino,bonino,TV.RVRV,CV.CVCV
Buts,buts,TV.TS,CV.CC
Bordè,boɾdeː,TVR.TV,CVC.CV
