"Related_languages","pt_related annotations"
,
,
,
,
"Spanish","Old Portuguese, All Portuguese-based creoles of India"
"Spanish","Old Portuguese, All Portuguese-based creoles of India"
,
,
"Sinhala","Old Portuguese"
"English",
,"All Portuguese-based creoles of India"
,
,
,
"English",
,
,
"Cochin creole",
,
,
,
"Cochin creole","Dialectal Portuguese"
"Cochin creole","Dialectal Portuguese"
"Italian",
,
"prákrito",
"English",
"English",
,"Old Portuguese"
,"Old Portuguese"
,
"English",
,
,
,
,
,
,
"English",
"English",
,
,
,
,
,
"Macao creole",
"Dutch",
"Dutch",
,
,
,
,
"Dutch",
,
"hindu",
,
,
"English","All Portuguese-based creoles of India"
"English",
,
,
,"All Portuguese-based creoles of India"
,
,
"English",
,
,
,
,
,
"English",
,
,
"Italian",
,
,
,
,
,
"Macao creole, English, Persian","comum a todos os ramos do indo-português"
,
,
,
,
"Konkani","All Portuguese-based creoles of India"
,
,
,"Old Portuguese"
"malayalam",
,
,
,
,
,
,
,
,
"English",
,
,
"English",
"Dutch",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,"Old Portuguese"
,"Old Portuguese"
,"Old Portuguese"
,
,
,"Old Portuguese"
,"Old Portuguese"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"Macao creole, Mangalor dialect",
"Macao creole, Mangalor dialect",
"Macao creole, Mangalor dialect",
,
,
,
,
,
,
,
,
,
,"Dialectal Portuguese"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"English",
,
,"Dialetal Portuguese Alentejo"
,
,
,
,
"Italian",
,
,
,
,
,
,
,
"Spanish","Old Portuguese"
,
,
,
,
"Macao creole",
,
,
"Macao creole",
,
"Dutch",
"Dutch",
"Diu creole, Mangalor dialect",
"Diu creole, Mangalor dialect",
,
"Macao creole, Mangalor dialect","All Portuguese-based creoles of India"
"Macao creole, Mangalor dialect","All Portuguese-based creoles of India"
,
,
,
,
,
,
,
"Sinhala",
,
,
,
"Dutch",
"Dutch",
,
,
,
,
"English",
,
,
"Cochin creole",
,
,
,
"Macao creole",
,
,
,
,
,
,
,
,
"Sinhala",
,
,
"Capeverdean creole",
,
,
,
,
,
,
"de Malaca",
,
,
,
,
,
,
,
,
,
,"Old Portuguese"
,
,
,
,
,
,
,
,
"English",
"English",
"English",
